"","fieldname","standard","vetted","namespace","source","comment"
"1","ACCEPTEDNAMEUSAGE","acceptedNameUsage",1,"dwc","",""
"2","ACCEPTEDNAMEUSAGEID","acceptedNameUsageID",1,"dwc","",""
"3","ACCESSRIGHTS","accessRights",1,"dcterms","",""
"4","ANO","year",1,"dwc","",""
"5","AÑO","year",1,"dwc","",""
"6","ASSOCIATEDMEDIA","associatedMedia",1,"dwc","",""
"7","ASSOCIATEDOCCURRENCES","associatedOccurrences",1,"dwc","",""
"8","ASSOCIATEDORGANISMS","associatedOrganisms",1,"dwc","",""
"9","ASSOCIATEDREFERENCES","associatedReferences",1,"dwc","",""
"10","ASSOCIATEDSEQUENCES","associatedSequences",1,"dwc","",""
"11","ASSOCIATEDTAXA","associatedTaxa",1,"dwc","",""
"12","BASISOFIDENTIFICATION","",1,"","FIMS",""
"13","BASISOFRECORD","basisOfRecord",1,"dwc","",""
"14","BCID","",1,"","FIMS",""
"15","BED","bed",1,"dwc","",""
"16","BEHAVIOR","behavior",1,"dwc","",""
"17","BIBLIOGRAPHICCITATION","bibliographicCitation",1,"dcterms","",""
"18","CATALOGNUMBER","catalogNumber",1,"dwc","",""
"19","CATNUM","catalogNumber",1,"dwc","",""
"20","CLASE","class",1,"dwc","",""
"21","CLASS","class",1,"dwc","",""
"22","COLECTOR","recordedBy",1,"dwc","",""
"23","COLLECTIONCODE","collectionCode",1,"dwc","",""
"24","COLLECTIONID","collectionID",1,"dwc","",""
"25","COLLECTOR","recordedBy",1,"dwc","",""
"26","CONTINENT","continent",1,"dwc","",""
"27","CONTINENT/OCEAN","",1,"","","Maps to continent for continents and waterBody for oceans."
"28","CONTINENTE","continent",1,"dwc","",""
"29","COORDENADAS","verbatimCoordinates",1,"dwc","",""
"30","COORDINATEPRECISION","coordinatePrecision",1,"dwc","",""
"31","COORDINATES","verbatimCoordinates",1,"dwc","",""
"32","COORDINATEUNCERTAINTYINMETERS","coordinateUncertaintyInMeters",1,"dwc","",""
"33","COUNTRY","country",1,"dwc","",""
"34","COUNTRYCODE","countryCode",1,"dwc","",""
"35","COUNTY","county",1,"dwc","",""
"36","CUENCA","waterBody",1,"dwc","",""
"37","DATAGENERALIZATIONS","dataGeneralizations",1,"dwc","",""
"38","DATASETID","datasetID",1,"dwc","",""
"39","DATASETNAME","datasetName",1,"dwc","",""
"40","DATE","",1,"","","Could be one of many fields."
"41","DATEIDENTIFIED","dateIdentified",1,"dwc","",""
"42","DATUM","geodeticDatum",1,"dwc","",""
"43","DAY","day",1,"dwc","",""
"44","DAYCOLLECTED","day",1,"dwc","",""
"45","DAYIDENTIFIED","dayIdentified",1,"dwcloud","","Contributes to dwc:dateIdentified"
"46","DCTERMS:ACCESSRIGHTS","accessRights",1,"dcterms","",""
"47","DCTERMS:BIBLIOGRAPHICCITATION","bibliographicCitation",1,"dcterms","",""
"48","DCTERMS:LANGUAGE","language",1,"dcterms","",""
"49","DCTERMS:LICENSE","license",1,"dcterms","",""
"50","DCTERMS:MODIFIED","modified",1,"dcterms","",""
"51","DCTERMS:REFERENCES","references",1,"dcterms","",""
"52","DCTERMS:RIGHTSHOLDER","rightsHolder",1,"dcterms","",""
"53","DCTERMS:TYPE","type",1,"dcterms","",""
"54","DECIMALLATITUDE","decimalLatitude",1,"dwc","",""
"55","DECIMALLONGITUDE","decimalLongitude",1,"dwc","",""
"56","DETERMINED BY","identifiedBy",1,"dwc","",""
"57","DIA","day",1,"dwc","",""
"58","DÍA","day",1,"dwc","",""
"59","DISPOSITION","disposition",1,"dwc","",""
"60","DRAINAGE","waterBody",1,"dwc","",""
"61","DWC:ACCEPTEDNAMEUSAGE","acceptedNameUsage",1,"dwc","",""
"62","DWC:ACCEPTEDNAMEUSAGEID","acceptedNameUsageID",1,"dwc","",""
"63","DWC:ASSOCIATEDMEDIA","associatedMedia",1,"dwc","",""
"64","DWC:ASSOCIATEDOCCURRENCES","associatedOccurrences",1,"dwc","",""
"65","DWC:ASSOCIATEDORGANISMS","associatedOrganisms",1,"dwc","",""
"66","DWC:ASSOCIATEDREFERENCES","associatedReferences",1,"dwc","",""
"67","DWC:ASSOCIATEDSEQUENCES","associatedSequences",1,"dwc","",""
"68","DWC:ASSOCIATEDTAXA","associatedTaxa",1,"dwc","",""
"69","DWC:BASISOFRECORD","basisOfRecord",1,"dwc","",""
